Model,Storage,Price,Description,Link
iPhone XR, ,"$509.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-xr-128-gb-red-unlocked-our-phones-come-to-you-:/cas_10287189
iPhone 8, ,"$399.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-8-256-gb-space-grey-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_10286823
iPhone SE, ,"$225.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-se-2016-128-gb-space-grey-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_10262993
iPhone 8, ,"$449.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-8-256-gb-silver-unlocked-let-our-customer-service-amaze-you/cas_10211449
iPhone 8, ,"$299.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-8-64-gb-silver-unlocked-let-our-customer-service-amaze-you/cas_10211414
iPhone XS, ,"$529.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-xs-64-gb-space-grey-unlocked-let-our-customer-service-amaze-you/cas_10176308
iPhone X, ,"$569.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-x-256-gb-silver-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_10176173
iPhone 8, ,"$399.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-8-256-gb-silver-unlocked-our-phones-come-to-you-:/cas_10175738
iPhone SE, ,"$155.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-se-2016-16-gb-silver-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_10172215
iPhone 6S, ,"$209.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-6s-128-gb-rose-gold-unlocked-our-phones-come-to-you-:/cas_10170409
iPhone 6, ,"$155.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-6-16-gb-silver-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_10168964
iPhone SE, ,"$379.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-se-64-gb-red-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_14521496
iPhone 8, ,"$259.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-8-64-gb-red-unlocked-let-our-customer-service-amaze-you/cas_12917712
iPhone SE, ,"$419.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-se-128-gb-red-unlocked-no-more-meetups-with-unreliable-strangers/cas_14412537
iPhone 7, ,"$169.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-7-32-gb-silver-unlocked-let-our-customer-service-amaze-you/cas_10671754
iPhone 8, ,"$299.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-8-64-gb-space-grey-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_10211319
iPhone XS,64gb,"$549.99
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NDVYMzQx/z/o7cAAOSwal5YHMhQ/$_69.JPG"">","Available online or pick up in store! Certified Pre-Owned Apple iPhone XS MAX Unlocked 64GB - $549.99 Space Grey Silver Description An allnew 5.8inch Super Retina screen with all-screen OLED Multi-Touch display 12MP wide-angle and telephoto cameras with Dual optical image stabilization Wireless Qi charging Splash,",https://kijiji.ca/v-cell-phone/canada/certified-pre-owned-apple-iphone-xs-max-unlocked-64gb/cas_3582307
iPhone 12,128gb,"$1,329.99
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NDVYMzQx/z/o7cAAOSwal5YHMhQ/$_69.JPG"">","Available online or pick up in store! Brand New Apple iPhone 12 Pro 128GB Unlocked (A2341) - 5G - $1,329.99 Brand New Apple iPhone 12 Pro 256GB Unlocked (A2341) - 5G - $1,459.99 6.1-inch Super Retina XDR display* Ceramic Shield, tougher than any smartphone glass A14 Bionic chip, the fastest chip ever in a smartphone",https://kijiji.ca/v-cell-phone/canada/brand-new-apple-iphone-12-pro-128gb-256gb-unlocked-a2341-5g/cas_15663108
iPhone 6s,16gb,"$109.99
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NDVYMzQx/z/o7cAAOSwal5YHMhQ/$_69.JPG"">","Available online and in store for pick up i Phone 6s 16GB Unlocked $109.99 iPhone 6s 32GB Unlocked $129.99 Available in Grey Like New (MINT CONDITION) Swiftronics Canada www.swiftronics.ca Mississauga Retail Store 6085 Creditview Rd, Unit 22 Mississauga,ON L5V 0B1 Tel: (905) 858-9994 Monday to Friday: 10am - 7PM",https://kijiji.ca/v-cell-phone/canada/renewed-mint-condition-apple-iphone-6s-factory-unlocked/cas_10120157
iPhone 11, ,"$725.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-11-64-gb-green-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_12105525
iPhone 4S, ,"$69.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is locked and can only be used with Rogers/Chatr.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear,https://kijiji.ca/v-cell-phone/canada/iphone-4s-16-gb-black-rogers-let-our-customer-service-amaze-you/cas_15161128
iPhone 11, ,"$675.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-11-64-gb-black-unlocked-our-phones-come-to-you-:/cas_12925060
iPhone 11, ,"$1,109.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-11-pro-max-256-gb-space-grey-unlocked-let-our-customer-service-amaze-you/cas_13071133
iPhone 6S, ,"$139.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-6s-32-gb-space-grey-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_10262159
iPhone 5, ,"$95.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-5-16-gb-white-unlocked-our-phones-come-to-you-:/cas_10673428
iPhone XS,64gb,"$710.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/MzU1WDgxMg==/z/98sAAOSws6dcN-R2/$_69.JPG"">",FLEX MOBILE (403)-797-3638 flexmobile.ca Flexmobile@outlook.com BIGGEST INVENTORY! LOWEST PRICE! CANADA-WIDE SHIPPING! (1-2 Business Days) COME IN STORE IN THE NEW HORIZON MALL OR ORDER ONLINE AT FLEXMOBILE.CA CANADIAN MODELS! iPhone XS Max 64GB BRAND NEW CHARGERS Unlocked for all carrier networks including Freedom,https://kijiji.ca/v-cell-phone/canada/summer-sale-unlocked-iphone-xs-max-new-charger-90-days-warranty/cas_11764011
iPhone 11, ,"$855.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-11-256-gb-black-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_15844125
iPhone SE, ,"$469.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-se-64-gb-black-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_14278075
iPhone 7, ,"$195.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-7-32-gb-black-unlocked-no-more-meetups-with-unreliable-strangers/cas_10173185
iPhone 5, ,"$95.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-5-16-gb-black-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_11629922
iPhone 7, ,"$289.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-7-plus-32-gb-silver-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_10174102
iPhone 5, ,"$95.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is locked and can only be used with Bell/Virgin.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor,https://kijiji.ca/v-cell-phone/canada/iphone-5-16-gb-white-bell-no-more-meetups-with-unreliable-strangers/cas_13053903
iPhone XS, ,"$759.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-xs-max-512-gb-space-grey-unlocked-let-our-customer-service-amaze-you/cas_12970763
iPhone 7, ,"$289.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-7-plus-32-gb-black-unlocked-no-more-meetups-with-unreliable-strangers/cas_10174067
iPhone SE, ,"$419.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-se-128-gb-black-unlocked-no-more-meetups-with-unreliable-strangers/cas_14412393
iPhone 8, ,"$389.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-8-plus-64-gb-space-grey-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_10266524
iPhone 5, ,"$155.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier except Freedom.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows,https://kijiji.ca/v-cell-phone/canada/iphone-5-64-gb-black-unlocked-our-phones-come-to-you-:/cas_10418732
iPhone XR, ,"$569.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-xr-256-gb-red-unlocked-no-more-meetups-with-unreliable-strangers/cas_14337816
iPhone 6S, ,"$255.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-6s-plus-32-gb-silver-unlocked-our-phones-come-to-you-:/cas_10172032
iPhone XR, ,"$509.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-xr-128-gb-coral-unlocked-no-more-meetups-with-unreliable-strangers/cas_15657169
iPhone 11, ,"$725.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-11-64-gb-purple-unlocked-our-phones-come-to-you-:/cas_13593824
iPhone XR, ,"$669.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-xr-256-gb-coral-unlocked-no-more-meetups-with-unreliable-strangers/cas_14678874
iPhone XR, ,"$569.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-xr-256-gb-black-unlocked-our-phones-come-to-you-:/cas_14341936
iPhone XR, ,"$559.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-xr-128-gb-black-unlocked-let-our-customer-service-amaze-you/cas_10287012
