Model,Storage,Price,Description
iPhone 8, ,"$299.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs
iPhone XS,64gb,"$549.99
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NDVYMzQx/z/o7cAAOSwal5YHMhQ/$_69.JPG"">","Available online or pick up in store! Certified Pre-Owned Apple iPhone XS MAX Unlocked 64GB - $549.99 Space Grey Silver Description An allnew 5.8inch Super Retina screen with all-screen OLED Multi-Touch display 12MP wide-angle and telephoto cameras with Dual optical image stabilization Wireless Qi charging Splash,"
iPhone 12,128gb,"$1,329.99
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NDVYMzQx/z/o7cAAOSwal5YHMhQ/$_69.JPG"">","Available online or pick up in store! Brand New Apple iPhone 12 Pro 128GB Unlocked (A2341) - 5G - $1,329.99 Brand New Apple iPhone 12 Pro 256GB Unlocked (A2341) - 5G - $1,459.99 6.1-inch Super Retina XDR display* Ceramic Shield, tougher than any smartphone glass A14 Bionic chip, the fastest chip ever in a smartphone"
iPhone 6s,16gb,"$109.99
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NDVYMzQx/z/o7cAAOSwal5YHMhQ/$_69.JPG"">","Available online and in store for pick up i Phone 6s 16GB Unlocked $109.99 iPhone 6s 32GB Unlocked $129.99 Available in Grey Like New (MINT CONDITION) Swiftronics Canada www.swiftronics.ca Mississauga Retail Store 6085 Creditview Rd, Unit 22 Mississauga,ON L5V 0B1 Tel: (905) 858-9994 Monday to Friday: 10am - 7PM"
iPhone 11, ,"$725.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs
iPhone 4S, ,"$69.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is locked and can only be used with Rogers/Chatr.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear
iPhone 11, ,"$675.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and
iPhone 11, ,"$1,109.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and
iPhone 6S, ,"$139.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and
iPhone 5, ,"$95.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs
iPhone XS,64gb,"$710.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/MzU1WDgxMg==/z/98sAAOSws6dcN-R2/$_69.JPG"">",FLEX MOBILE (403)-797-3638 flexmobile.ca Flexmobile@outlook.com BIGGEST INVENTORY! LOWEST PRICE! CANADA-WIDE SHIPPING! (1-2 Business Days) COME IN STORE IN THE NEW HORIZON MALL OR ORDER ONLINE AT FLEXMOBILE.CA CANADIAN MODELS! iPhone XS Max 64GB BRAND NEW CHARGERS Unlocked for all carrier networks including Freedom
iPhone 11, ,"$855.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and
iPhone SE, ,"$469.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero
iPhone 7, ,"$195.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs
iPhone 5, ,"$95.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs
iPhone 7, ,"$289.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs
iPhone 5, ,"$95.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is locked and can only be used with Bell/Virgin.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor
iPhone XS, ,"$759.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and
iPhone 7, ,"$289.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs
iPhone SE, ,"$419.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and
iPhone 8, ,"$389.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs
iPhone 5, ,"$155.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier except Freedom.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows
iPhone XR, ,"$569.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and
iPhone 6S, ,"$255.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero
iPhone XR, ,"$509.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and
iPhone 11, ,"$725.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs
iPhone XR, ,"$669.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero
iPhone XR, ,"$569.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and
iPhone XR, ,"$559.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs
iPhone XR, ,"$509.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and
iPhone SE, ,"$379.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and
iPhone 6S, ,"$239.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero
iPhone 7, ,"$255.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and
iPhone 11, ,"$725.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs
iPhone 5, ,"$125.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs
